country,culture,Correct
Sweden,nordic_europe,y
Singapore,confucian_asia,y
"Saint Helena, Ascension and Tristan da Cunha",anglo_cultures,n
Slovenia,eastern_europe,y
Svalbard and Jan Mayen,nordic_europe,y
Slovakia,eastern_europe,y
Sierra Leone,sub_sahara_africa,y
San Marino,latin_europe,y
Senegal,sub_sahara_africa,y
Somalia,sub_sahara_africa,y
Suriname,latin_america,y
South Sudan,sub_sahara_africa,y
Sao Tome and Principe,latin_america,y
El Salvador,latin_america,y
Sint Maarten (Dutch part),anglo_cultures,n
Syrian Arab Republic,arab_cultures,y
Swaziland,sub_sahara_africa,y
Turks and Caicos Islands,anglo_cultures,n
Chad,sub_sahara_africa,y
Togo,sub_sahara_africa,y
Thailand,southern_asia,y
Tajikistan,eastern_europe,y
Timor-Leste,southern_asia,y
Turkmenistan,eastern_europe,y
Tunisia,arab_cultures,y
Tonga,anglo_cultures,n
Turkey,arab_cultures,y
Trinidad and Tobago,latin_america,y
Taiwan,confucian_asia,y
"Tanzania, United Republic of",sub_sahara_africa,y
Ukraine,eastern_europe,y
Uganda,sub_sahara_africa,y
United States,anglo_cultures,y
Uruguay,latin_america,y
Uzbekistan,eastern_europe,y
Saint Vincent & the Grenadines,latin_america,y
Saint Vincent and the Grenadines,latin_america,y
St. Vincent and the Grenadines,latin_america,y
"Venezuela, Bolivarian Republic of",latin_america,y
Venezuela,latin_america,y
"Virgin Islands, British",anglo_cultures,n
"Virgin Islands, U.S.",anglo_cultures,n
Viet Nam,southern_asia,y
Vietnam,confucian_asia,y
Vanuatu,anglo_cultures,n
Samoa,anglo_cultures,n
Kosovo,eastern_europe,y
Yemen,arab_cultures,y
Mayotte,sub_sahara_africa,y
South Africa,anglo_cultures,y
Zambia,sub_sahara_africa,y
Zimbabwe,sub_sahara_africa,y
